<ros|[https://www.bbc.com/,h]::1;
<rossis|[https://blog.archive.org,p]::1;
<rosefrancisrdn|[https://www.everydayhealth.com/diet-nutrition/the-dash-diet.aspx,p]::3;
<rossum|[https://www.tutorialspoint.com/python/index.htm,p]::2;
<rosary|[http://www.archive-it.org,p]::1;
<roster|[https://www.asco.org,p]::2;
<rossy|[https://www.everydayhealth.com/meditation,p]::1;
<rossys|[https://www.everydayhealth.com/meditation,p]::1;
<rosenberg|[https://www.cancer.org/cancer/ovarian-cancer/detection-diagnosis-staging/signs-and-symptoms.html,p]::2;[https://www.cancer.org/cancer/ovarian-cancer/detection-diagnosis-staging/how-diagnosed.html,p]::2;[https://www.cancer.org/cancer/ovarian-cancer/causes-risks-prevention/risk-factors.html,p]::1;
<rosenbergs|[https://www.cancer.org/cancer/ovarian-cancer/detection-diagnosis-staging/how-diagnosed.html,p]::2;
<rosenblatt|[https://www.cancer.org/cancer/ovarian-cancer/causes-risks-prevention/risk-factors.html,p]::1;
<rossing|[https://www.cancer.org/cancer/ovarian-cancer/causes-risks-prevention/risk-factors.html,p]::1;
<rosarito|[https://www.nytimes.com/2006/02/01/obituaries/coretta-scott-king-a-civil-rights-icon-dies-at-78.html,p]::1;
<rosie|[https://apps.apple.com/us/app/complete-medication-tracker/id1019069079,p]::1;
<rosario|[https://web.archive.org/web/20110614022902/http:/news.cnet.com/8301-1009_3-20066419-83.html,p]::1;[https://www.reuters.com/article/microsoft-security-idUSN2517397120110525,p]::1;[https://web.archive.org/web/20110530020518/http:/www.reuters.com/article/2011/05/25/microsoft-security-idUSN2517397120110525,p]::1;
